Label,timestamp,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940
布1,2025/9/19 10:58,2191.5,1650.16,2970.98,1366.92,1491.32,1788.96,382.062,394.624,2577.52,240.019,502.627,78.288,173.368,120.218,222.144,1270.2,65.452,29.722
布2,2025/9/19 10:58,3328.05,951.237,2407.31,1020.83,1383.49,1737.85,384.505,396.592,2403.88,237.936,539.276,89.471,188.341,129.214,222.992,1329.45,69.694,27.921
